id,name,category_name,price,quantity_sold
277164134,Sách Chú Rối Nhỏ,Sách tiếng Việt,90300,27
275814020,Osho - Luận Về Cuộc Đời - 365 Ngày Khai Sáng Tâm Hồn,Sách tiếng Việt,115200,8
274901375,"COMBO DẠY CON TRONG HOANG MANG (Tập 1, Tập 2)",Sách tiếng Việt,307000,52
73668282,Sách Quyền Sư,Sách tiếng Việt,87000,8
278472224,Comic Kĩ Năng Sống - Dành Cho Trẻ Tiểu Học,Sách tiếng Việt,34200,23
277587064,Sách 55 Thần Chú Của Sự Bình An,Sách tiếng Việt,73920,28
277554493,Sách Học nhanh 600++ Từ Vựng Tiếng Anh Bằng Sơ Đồ Tư Duy,Sách tiếng Việt,105500,9
276841088,Sách Thư Kí Bác Hồ Kể Chuyện,Sách tiếng Việt,47500,32
68668312,Sách Bộ 2 cuốn Cẩm Nang Hướng Dẫn Tẩy Sỏi Gan Mật + Hướng Dẫn Thải Độc Và Chế Độ Ăn Uống THB,Sách tiếng Việt,277500,15
278819497,Vua Tây Chúa Nguyễn (Bìa mềm),Sách tiếng Việt,49400,11
278790501,"Sách - (Combo) Viết Văn Thật Là Đơn Giản + Hành Trình Hiểu, Tư Duy Để Viết Văn Sáng Tạo",Sách tiếng Việt,154000,7
278715932,Sách - Lá Ngọc Cành Vàng (Tái Bản 2022),Sách tiếng Việt,44200,2
275606968,Thám Tử Lừng Danh Conan - Hanzawa Chàng Hung Thủ Số Nhọ - Tập 7,Sách tiếng Việt,25000,1
273464127,Sách Khám Phá Toán Học Thú Vị Quanh Ta,Sách tiếng Việt,102300,45
253227806,"Sách: Ngừng nói, bắt đầu tạo ảnh hưởng",Sách tiếng Việt,85000,2
279423694,Sách - Chơi Cùng Con - 100++ Trò Chơi Cùng Con Chỉ Với 5 Phút Chuẩn Bị - Dành Cho Bố Mẹ Có Con 0-6 Tuổi,Sách tiếng Việt,169100,1
278870038,Sách - Wild Cats - Tặng Kèm Mini Poster + Card PVC,Sách tiếng Việt,132300,4
278159233,Sách Du Hành Vào Lịch Sử Thế Giới,Sách tiếng Việt,33120,7
278138839,Sách Trang điểm Công chúa Hàn Quốc Myra,Sách tiếng Việt,36000,14
276564900,Combo 2 cuốn: Kỹ Năng Quản Lý Nhân Sự Chuyên Nghiệp + Nhân Sự Thực Chiến,Sách tiếng Việt,238500,1
275609908,SÁCH - Bồi Dưỡng Học Sinh Giỏi Hoá Học 8 Theo Chuyên Đề (dùng chung cho các bộ sgk hiện hành)HA-MK,Sách tiếng Việt,82800,3
274840198,Bài Tập Bổ Trợ Nâng Cao Toán Lớp 4 Tập 2 - Bộ Kết Nối Tri Thức Với Cuộc Sống,Sách tiếng Việt,98000,5
273238513,Xã Hội Học - Khái Lược Những Tư Tưởng Lớn - Bìa Cứng (Tái Bản 2023),Sách tiếng Việt,387000,2
252011530,Machiavelli,Sách tiếng Việt,249000,1
235728504,Sách Đến Thăm Thành Phố Của Em. Lý Sơn Kỳ Vĩ,Sách tiếng Việt,21250,0
196411153,Sách Master Your Life - Làm Chủ Niềm Tin,Sách tiếng Việt,96000,17
279112664,Làm Chủ AI Trong Giáo Dục - Từ Lý Thuyết Đến Thực Hành - TS. Vũ Xuân Hùng - Alpha Books,Sách tiếng Việt,162400,2
278687954,Thăm Dò Tiềm Thức - Carl Gustav Jung,Sách tiếng Việt,67500,3
277505035,Sách Phiên Bản Tôi Tốt Nhất,Sách tiếng Việt,101100,29
275300064,Bộ Sách Ngụ Ngôn Triết Học,Sách tiếng Việt,12000,131
207852929,Sách TRẦN HƯNG ĐẠO ĐẠI CHIẾN BẠCH ĐẰNG,Sách tiếng Việt,27000,7
196411142,Sách Master Your Life - Làm Chủ Động Lực,Sách tiếng Việt,111000,5
279280074,Sách Sức Hút Tuyệt Đối,Sách tiếng Việt,81750,31
278916774,Doraemon Movie Story Màu - Phiên Bản Mới: Nobita Thám Hiểm Vùng Đất Mới,Sách tiếng Việt,33250,19
278916767,Thám Tử Lừng Danh Conan Hoạt Hình Màu: Tàu Ngầm Sắt Màu Đen,Sách tiếng Việt,57000,21
279359157,White Nights; Poor Folk; The Double,Sách nước ngoài,145000,4
279251050,Sách ngoại văn: Project Hail Mary (Movie Tie-In),Sách nước ngoài,292500,8
279029112,Sách ngoại văn: Oxford Student's Dictionary 4th Edition,Sách nước ngoài,465400,3
278279707,Bài tập Bổ trợ Tiếng Anh 2 i-Learn Smart Start ,Sách nước ngoài,89000,26
277275373,Sách - Dtpbooks - Practice Tests Grade 11,Sách nước ngoài,118000,13
275875123,100 Ideas That Changed Graphic Design,Sách nước ngoài,689000,13
275803111,Chip War,Sách nước ngoài,413080,9
274673617,Cambridge Primary Mathematics Learner's Book 1 With Digital Access (1 Year) 2nd Edition,Sách nước ngoài,649200,8
274384962,Sách Dark Future: Uncovering the Great Reset's Terrifying Next Phase (The Great Reset Series),Sách nước ngoài,490000,7
273321949,Totto-Chan: The Little Girl at the Window,Sách nước ngoài,259000,32
271311800,Sách How to Catch the Easter Bunny,Sách nước ngoài,115000,7
263960552,Oxford - Solutions (Third Edition),Sách nước ngoài,317000,16
262974346,Solve For Happy: Engineer Your Path To Joy,Sách nước ngoài,299000,16
115695002,Essential Grammar In Use 4th Edition With Answers And Interactive eBook,Sách nước ngoài,594900,3
420792,Sách The Mysterious Island,Sách nước ngoài,120000,10
279237847,Sách Ngoại Văn - English Vocabulary in Use,Sách nước ngoài,134000,6
279174879,Sách - Orchid Basics by Brian Rittershausen - Gardening Book,Sách nước ngoài,220000,1
278873218,Sách ngoại văn: The Official Cambridge Guide To IELTS Student's Book With Answers,Sách nước ngoài,490100,10
278804976,Sách - The Man Who Mistook His Wife for a Hat by Oliver Sacks | Nonfiction / Psychology / Ngoại văn,Sách nước ngoài,320000,3
278764688,Sách - Introducing Lévi-Strauss: A Graphic Guide by Boris Wiseman | Anthropology / Philosophy,Sách nước ngoài,150000,2
278723663,Sổ Tay Kẻ Ngang - Gustav Klimt: Three Ages Of Woman,Sách nước ngoài,349000,2
278722659,Sách - Twenty Love Poems and a Song of Despair by Pablo Neruda | Classics Poetry / Ngoại văn,Sách nước ngoài,280000,1
278714568,Sách ngoại văn: Give Me Five! Level 3 Activity Book With Digital Book,Sách nước ngoài,238800,1
278714309,Sách ngoại văn: Imagine Level 1: Workbook,Sách nước ngoài,238600,5
278519185,Sách - Flow: The Psychology of Optimal Experience - Sách Self Help Ngoại văn - Nhập khẩu UK,Sách nước ngoài,380000,1
278279808,Sách - The Outsider by Albert Camus - Classics/ Fiction/ Philosophy in English,Sách nước ngoài,380000,1
276826727,CHAPTER HOUSE DUNE,Sách nước ngoài,275080,2
273307608,Chicken Soup For The Soul,Sách nước ngoài,189000,10
171212915,Collins Easy Learning Preschool - Writing Ages 3-5,Sách nước ngoài,69000,13
168774228,i-Learn Smart Maths Grade 1 Workbook Part 1 ( ENG-VN),Sách nước ngoài,104000,38
168666478,My Phonics 5 Activity Book (Int) With Crossplatform Application,Sách nước ngoài,135000,4
974695,Sách Colorless Tsukuru Tazaki And His Years Of Pilgrimage,Sách nước ngoài,329000,5
