id,name,category_name,current_discount,current_probability,optimal_discount,optimal_probability,improvement,recommend_change
2987219,Sách Giáo Trình Chuẩn YCT 1 (Kèm file MP3),Sách tiếng Việt,20,0.4896298451103771,45,0.7362778666295959,0.24664802151921883,True
540039,Sách Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm file MP3),Sách tiếng Việt,21,0.4876547764368793,45,0.5835082175080173,0.09585344107113797,True
279428996,Sách Chú Thuật Hồi Chiến - Tập 28,Sách tiếng Việt,10,0.015309341003961134,45,0.35724935680576414,0.341940015801803,True
279394165,Thám tử thừa kế,Sách tiếng Việt,0,0.012019607843137254,0,0.012019607843137254,0.0,False
279374424,Sách Chú Thuật Hồi Chiến - Tập 27,Sách tiếng Việt,10,0.015309341003961134,45,0.35724935680576414,0.341940015801803,True
279292568,Song Mệnh Cõi Hoàng Tuyền,Sách tiếng Việt,5,0.05527342241575586,45,0.5361236098515029,0.48085018743574703,True
279235202,Sách Khúc Hát Đêm Thâu [Chọn Tập,Sách tiếng Việt,10,0.023674625406054455,45,0.2390683372355199,0.21539371182946546,True
278788044,Sách BEASTARS [Chọn Tập Lẻ,Sách tiếng Việt,0,0.018204205977703822,45,0.3756259801823875,0.3574217742046837,True
278756674,Sách Nisekoi - Cặp Đôi Giả Tạo,Sách tiếng Việt,10,0.0386597022574888,45,0.38461213549365636,0.34595243323616753,True
278749523,Ngũ Hành Của Tôi Thiếu Em,Sách tiếng Việt,30,0.22599012933819146,20,0.3944759962551058,0.16848586691691436,True
278729052,Doraemon Movie Story Màu - Phiên Bản Mới: Nobita Và Binh Đoàn Người Sắt - Đôi Cánh Thiên Thần,Sách tiếng Việt,2,0.029863296886794725,45,0.41498916426198945,0.3851258673751947,True
278684154,Nữ Binh Thần Tốc,Sách tiếng Việt,7,0.11833605836384281,45,0.38857046882698965,0.27023441046314683,True
278423155,"Sách Hồi Ức, Giấc Mơ, Suy Ngẫm - Hành Trình Vào Nội Tâm Của Carl Jung – Nơi Ký Ức, Giấc Mơ Và Triết Lý Giao Thoa",Sách tiếng Việt,38,0.37858464549176984,45,0.44625745395621097,0.06767280846444113,True
278123405,Sobotei Dinh Thự Ma Ám (Chọn tập lẻ),Sách tiếng Việt,0,0.08952936384650738,45,0.38857046882698965,0.29904110498048225,True
277397107,Sách Phía Đông Vườn Địa Đàng,Sách tiếng Việt,27,0.21120133780468364,45,0.3358699713685007,0.12466863356381708,True
276948798,"Sách Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",Sách tiếng Việt,28,0.4379646236459348,45,0.7386799134132217,0.3007152897672869,True
276933755,Combo Giáo Trình Chuẩn HSK 4 Tập 1 - Sách Bài Học và Bài tập (Bộ 2 cuốn),Sách tiếng Việt,17,0.3069695579526977,0,0.47759575009666344,0.17062619214396574,True
276933752,Combo Giáo Trình Chuẩn HSK 3 - Sách Bài Học và Bài tập (Bộ 2 cuốn),Sách tiếng Việt,18,0.3242607824814022,0,0.48094755786336485,0.15668677538196263,True
276883579,Sống Sáng - Phan Việt - Sáng Books,Sách tiếng Việt,0,0.3843224059685291,0,0.3843224059685291,0.0,False
