id,name,feature_name,feature_name_original,shap_value,feature_value,shap_value_percent
331588,Sách Tiểu thuyết tiếng Anh - Wordsworth Classics: The Adventures & Memoirs of Sherlock Holmes,Điểm đánh giá,rating_average,-0.04782363109823615,3.7,12.767413517673065
331588,Sách Tiểu thuyết tiếng Anh - Wordsworth Classics: The Adventures & Memoirs of Sherlock Holmes,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.017395728427597127,False,4.64411532909438
331588,Sách Tiểu thuyết tiếng Anh - Wordsworth Classics: The Adventures & Memoirs of Sherlock Holmes,Giá bán,price,0.0018034902021066346,168750,0.48147546843669986
331588,Sách Tiểu thuyết tiếng Anh - Wordsworth Classics: The Adventures & Memoirs of Sherlock Holmes,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,0.00015431043527561756,False,0.04119605918691101
332526,Sách Oxford Phrasal Verbs Dictionary (Elt),Điểm đánh giá,rating_average,0.0973281109412529,5.0,24.416177703495638
332526,Sách Oxford Phrasal Verbs Dictionary (Elt),Có đánh giá,has_rating,0.09316312469560747,1,23.37133009140466
332526,Sách Oxford Phrasal Verbs Dictionary (Elt),Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.07965003272026802,True,19.98137366665992
332526,Sách Oxford Phrasal Verbs Dictionary (Elt),Mức giảm giá,discount_rate,-0.03386265850917883,0,8.494942310880276
332526,Sách Oxford Phrasal Verbs Dictionary (Elt),"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.03332850176853867,False,8.360941293344219
332526,Sách Oxford Phrasal Verbs Dictionary (Elt),Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.033129127992284256,False,8.310925470542696
332526,Sách Oxford Phrasal Verbs Dictionary (Elt),Giá bán,price,0.021370537492209164,279000,5.361111358094114
332526,Sách Oxford Phrasal Verbs Dictionary (Elt),Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.006789312241569278,False,1.7031981055784773
